Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
4026,1,0,1,0,3,0,0
5900,1,0,1,3,0,3,0
4459,1,0,1,0,0,0,0
1648,1,0,1,0,0,0,1
2974,1,3,1,10,4,0,0
1795,2,0,0,0,0,0,0
4189,2,0,1,0,1,3,0
6340,2,2,1,1,5,4,0
8577,2,0,0,0,0,0,0
6341,3,1,1,0,0,2,1
4188,3,2,1,0,9,3,0
8736,3,5,1,0,25,0,0
6887,3,0,0,1,0,1,0
8080,3,0,1,0,0,0,1
8865,4,0,1,0,0,0,0
5293,4,0,1,1,0,0,0
6705,4,0,0,0,8,4,0
832,4,0,0,0,3,4,0
6023,4,0,0,1,0,2,0
6712,5,1,1,1,0,2,0
8083,5,0,1,0,0,4,0
5332,5,0,1,0,3,0,0
5109,5,0,0,0,0,0,1
8866,5,1,1,0,0,0,0
7676,6,0,0,0,0,0,0
5219,6,0,0,0,0,0,0
8100,6,0,1,1,0,0,0
1771,6,4,1,0,22,3,0
1311,6,0,0,0,0,0,1
8736,7,0,1,0,1,0,0
4516,7,1,0,1,1,0,1
4189,7,1,1,6,1,4,0
8849,7,0,0,0,0,0,0
4459,7,0,1,0,0,1,0
8577,8,0,1,0,0,0,0
6705,8,1,1,0,5,2,0
1648,8,0,1,0,0,3,0
3815,8,0,0,0,0,0,1
6023,8,1,1,0,0,2,0
8083,9,0,1,0,0,3,0
5332,9,0,0,0,0,0,0
5293,9,1,1,3,1,0,1
4189,9,1,1,1,2,2,0
7451,10,0,1,0,0,0,1
5109,10,1,0,1,1,0,0
8865,10,0,1,0,0,0,0
2974,10,1,1,1,1,0,0
7676,11,0,0,0,0,0,0
5651,11,0,0,1,0,0,0
832,11,0,0,0,11,0,0
1771,11,5,1,2,20,0,0
6340,12,1,1,0,4,4,0
8866,12,0,1,1,0,3,0
6341,12,0,0,0,2,2,0
5219,13,0,0,0,0,0,0
5900,13,0,1,0,0,0,0
4509,13,1,1,0,5,2,0
5109,14,2,1,0,0,0,0
8736,14,2,1,1,9,0,0
7676,15,0,0,0,0,0,0
6712,15,1,0,0,0,1,0
8080,15,1,1,1,0,3,0
7451,15,0,0,0,0,0,1
1795,16,0,0,0,0,0,0
1311,16,0,0,0,0,0,0
5651,16,0,1,0,0,0,1
6887,16,0,0,0,0,0,0
6905,17,0,0,0,0,0,0
5219,17,0,0,0,0,0,0
1648,17,0,1,0,0,2,0
8866,17,0,1,0,0,2,0
8849,18,0,0,0,0,0,0
1771,18,6,1,0,14,2,0
6340,18,0,1,1,1,4,0
4516,18,0,1,0,0,0,0
3581,19,0,1,0,0,0,0
5900,19,0,1,3,0,3,0
4509,19,1,1,0,9,2,0
6705,19,2,1,1,3,2,0
832,19,1,1,0,8,4,0
8577,20,0,0,0,0,0,0
4459,20,0,1,0,0,2,0
8080,20,0,0,0,0,4,0
7489,20,0,0,1,3,3,0
7676,21,0,0,0,0,0,0
8083,21,0,1,3,0,3,0
4188,21,4,1,0,15,4,0
3815,21,0,0,0,0,0,0
6905,21,0,0,0,0,0,0
8866,22,1,1,0,0,2,0
6023,22,0,1,0,0,4,0
8736,22,5,1,0,15,0,0
5293,22,0,1,1,0,3,0
4026,23,0,1,3,0,0,0
8761,23,0,0,0,0,0,1
6887,23,0,0,0,2,0,0
6340,24,1,1,0,4,4,0
5219,24,0,1,0,0,0,0
5900,24,1,1,4,0,2,0
5109,20,0,1,2,0,0,0
1311,25,2,1,0,2,0,0
6341,25,1,0,0,10,2,0
4509,25,0,0,0,8,0,0
7676,26,0,0,0,0,0,0
3581,26,0,1,5,0,0,0
8080,27,0,1,1,0,4,0
8761,27,0,0,0,0,0,0
8849,28,1,0,0,0,0,0
1648,28,0,1,0,0,4,0
6887,29,0,0,0,0,0,0
7451,29,1,1,0,0,0,1
8577,29,0,0,0,0,0,0
4509,30,1,1,0,6,2,0
6712,30,0,1,0,0,2,0
1311,31,0,1,0,1,2,0
4189,32,2,1,0,3,4,0
8736,32,3,1,0,18,0,0
6340,32,0,1,0,4,4,0
5109,33,0,0,0,4,2,0
4188,33,3,1,2,16,3,0
7451,33,0,0,0,0,0,0
8865,34,0,1,0,0,2,0
5900,34,1,1,3,0,3,0
1311,35,1,1,0,5,2,0
4516,35,0,1,0,0,0,0
8849,35,0,0,0,0,0,0
6712,36,0,1,0,0,2,0
832,37,0,1,0,3,3,0
1771,37,5,1,0,24,2,0
8736,38,2,1,0,18,0,0
3815,38,0,1,1,0,0,0
4459,38,1,1,0,0,0,0
6905,39,0,1,0,0,0,0
4188,39,0,1,13,0,0,0
8100,39,1,1,1,1,2,0
6341,40,0,1,1,4,0,0
4026,40,0,1,0,7,0,0
1795,41,0,1,0,0,0,0
1648,41,0,1,0,0,4,0
4516,41,1,1,0,0,0,0
5219,42,0,0,0,0,0,1
7676,42,0,1,0,0,0,0
8080,43,0,1,0,0,3,0
8577,43,0,0,0,0,0,0
832,44,1,1,0,5,3,0
1648,45,0,1,0,0,4,0
5293,46,0,1,0,0,0,0
8083,47,0,0,10,0,0,0
8736,48,3,1,2,21,0,0
8761,49,0,0,0,0,0,0
8080,50,0,1,1,0,0,0
8866,51,1,1,0,0,3,1
1771,52,4,1,0,18,3,0
1795,53,0,0,0,0,0,0
