Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
5651,1,0,0,0,0,0,0
6887,1,0,0,0,0,0,1
7104,1,0,0,0,0,2,0
1683,1,1,0,0,2,2,0
8083,1,0,1,0,0,0,1
5109,1,0,1,0,0,0,0
8736,2,0,0,1,11,0,0
6340,2,1,1,4,0,2,0
6023,2,0,0,0,0,0,0
5900,2,0,1,2,0,2,0
7451,2,0,0,0,0,0,1
5332,2,0,1,0,1,0,0
8866,3,0,0,0,0,0,0
4459,3,0,0,0,0,0,0
4516,3,0,1,0,0,0,0
8080,3,0,0,0,0,0,0
1746,3,0,0,1,9,2,0
1002,3,0,0,0,0,0,0
8577,4,0,1,0,0,0,1
6341,4,1,0,1,0,0,1
2974,4,1,1,0,5,2,0
6705,4,0,0,0,6,3,0
1311,4,0,0,0,0,0,0
4112,4,0,0,0,0,0,1
4026,5,0,1,0,0,0,1
6712,5,0,0,0,0,0,1
1771,5,5,1,6,10,3,0
8761,5,0,0,0,0,0,1
6829,5,0,1,3,1,0,0
4189,5,0,0,1,0,0,0
5900,6,0,1,5,0,0,0
1746,6,1,1,0,10,0,0
3329,6,0,1,0,3,2,0
7104,6,0,0,0,0,2,0
3581,6,0,1,0,0,0,0
832,6,0,0,0,0,0,1
8866,7,0,0,0,0,0,1
8736,7,2,1,1,11,0,0
6341,7,0,0,0,3,0,0
6887,7,0,0,0,0,0,1
6340,7,0,0,0,1,3,0
4459,7,0,1,0,0,0,0
1683,8,0,0,0,1,2,0
8083,8,0,1,2,0,0,0
5109,8,0,0,1,5,0,0
1311,8,0,0,0,0,0,0
7451,8,0,1,0,0,0,0
4516,8,0,0,1,1,1,0
5332,9,0,0,0,1,0,0
3581,9,0,1,0,0,0,0
6023,9,0,1,0,0,2,0
4189,9,2,1,0,3,0,0
4112,11,0,0,0,0,0,0
1683,12,0,1,2,3,2,0
6887,13,0,1,0,0,0,1
3581,13,0,1,0,0,0,0
2974,13,2,1,0,5,2,0
6712,13,0,0,0,0,0,0
5900,13,1,1,0,0,2,0
8736,13,1,1,0,21,0,0
8761,14,0,0,1,0,0,0
832,14,1,0,0,5,0,0
8083,14,0,1,0,0,3,0
6341,14,1,1,0,3,2,0
5332,14,0,1,0,0,0,1
4026,14,0,0,0,1,0,1
8577,15,0,0,0,0,0,0
4459,15,0,1,0,0,0,0
1746,15,0,1,0,0,0,1
4189,15,1,1,0,1,0,0
6705,15,1,0,0,3,4,1
4112,15,0,1,0,0,0,1
5651,16,0,0,0,0,0,0
8866,16,0,1,0,1,0,1
1771,16,4,1,2,15,0,1
4516,16,1,1,0,0,0,1
6023,16,0,0,0,0,0,0
3229,16,1,1,2,0,0,0
6829,17,1,1,0,3,2,0
832,17,1,1,3,0,2,0
8083,17,0,1,0,0,2,0
8080,18,0,1,0,0,0,1
6705,18,0,0,0,0,3,0
5109,18,0,1,0,0,0,0
2974,18,1,1,0,2,0,0
3581,18,0,1,0,0,0,1
8577,18,0,0,0,0,0,1
5651,19,0,0,0,0,0,0
4026,19,1,1,0,3,0,0
4189,19,0,1,0,0,0,0
3329,19,1,1,3,0,2,0
1311,19,0,1,1,2,0,0
8736,19,1,1,0,6,0,0
7104,20,0,1,1,0,2,0
8866,20,0,1,0,0,0,0
4112,20,0,0,0,0,0,0
5900,20,0,1,0,0,0,0
5332,21,0,0,0,0,0,0
8761,21,0,1,0,0,0,0
4516,21,1,1,0,0,1,0
6829,21,1,1,1,4,2,0
6887,21,0,0,0,0,0,1
6341,22,1,0,1,0,0,0
1771,22,4,1,4,5,0,0
4459,22,0,1,0,0,0,0
6340,22,1,1,0,2,3,0
1683,22,1,1,0,3,2,0
1683,22,1,0,0,5,2,0
6023,22,0,0,0,6,0,0
8080,30,0,0,1,0,2,0
4112,23,0,0,0,0,0,0
8083,23,0,1,1,0,3,0
8080,23,0,0,1,0,2,0
5109,23,0,1,0,1,0,0
4189,23,0,0,0,2,2,0
