Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
7315,1,1,0,7,0,2,0
3635,1,1,1,0,2,0,0
4118,1,3,1,0,9,0,0
7315,1,1,0,2,0,0,0
1414,2,2,1,0,9,0,0
4509,2,0,1,0,7,2,1
8080,2,1,1,3,0,4,0
8866,2,0,1,1,3,0,1
5632,2,1,1,2,0,0,0
1261,3,1,1,0,11,3,0
6910,3,0,0,0,0,0,0
6712,3,0,0,0,0,0,0
6341,3,0,0,0,1,2,0
4189,3,1,0,0,0,2,0
8083,4,1,1,0,0,4,0
1771,4,2,1,0,0,4,0
8736,4,1,1,1,19,2,0
6829,4,3,1,0,8,3,0
4701,4,1,0,0,1,2,0
1648,5,1,1,0,0,0,0
6340,5,0,1,0,5,0,0
832,5,1,1,0,3,4,0
6919,5,0,1,0,9,3,1
1311,6,0,1,0,5,0,0
1746,6,1,1,0,11,4,0
1771,6,3,1,0,14,4,0
6341,6,2,1,0,6,0,0
5632,7,1,1,8,0,2,0
1261,7,0,1,0,4,3,0
8866,7,0,1,0,0,0,0
6705,8,1,1,0,11,0,0
6341,8,2,1,0,6,2,0
6712,8,0,0,0,0,4,1
4188,9,2,1,0,6,3,0
1683,9,2,1,0,12,0,0
6910,9,0,1,0,0,2,0
4701,10,0,1,0,2,2,0
1414,10,1,1,0,6,0,1
4189,10,1,1,0,3,4,0
7470,10,1,1,0,5,2,0
832,11,1,1,1,8,0,0
8080,11,1,0,1,0,4,0
1261,11,1,1,0,4,3,0
